2025-09-27 17:18:49,582 - INFO - Trial 34 finished with value: 0.706989247311828 and parameters: {'upsampling_bins': 30, 'alpha': 0.05, 'beta': 0.15000000000000002}. Best is trial 19 with value: 0.7728494623655914.
2025-09-27 17:22:26,687 - INFO - Trial 35 finished with value: 0.663978494623656 and parameters: {'upsampling_bins': 20, 'alpha': 0.2, 'beta': 0.1}. Best is trial 19 with value: 0.7728494623655914.
2025-09-27 17:26:20,980 - INFO - Trial 36 finished with value: 0.6693548387096775 and parameters: {'upsampling_bins': 24, 'alpha': 0.1, 'beta': 0.25}. Best is trial 19 with value: 0.7728494623655914.
2025-09-27 17:31:13,259 - INFO - Trial 37 finished with value: 0.7163978494623656 and parameters: {'upsampling_bins': 21, 'alpha': 0.25, 'beta': 0.5}. Best is trial 19 with value: 0.7728494623655914.
2025-09-27 17:36:57,017 - INFO - Trial 38 finished with value: 0.657258064516129 and parameters: {'upsampling_bins': 27, 'alpha': 0.6000000000000001, 'beta': 0.4}. Best is trial 19 with value: 0.7728494623655914.
2025-09-27 17:40:53,044 - INFO - Trial 39 finished with value: 0.7056451612903226 and parameters: {'upsampling_bins': 32, 'alpha': 0.1, 'beta': 0.15000000000000002}. Best is trial 19 with value: 0.7728494623655914.
2025-09-27 17:44:32,563 - INFO - Trial 40 finished with value: 0.6908602150537635 and parameters: {'upsampling_bins': 18, 'alpha': 0.05, 'beta': 0.5}. Best is trial 19 with value: 0.7728494623655914.
2025-09-27 17:48:43,789 - INFO - Trial 41 finished with value: 0.6948924731182795 and parameters: {'upsampling_bins': 30, 'alpha': 0.15000000000000002, 'beta': 0.2}. Best is trial 19 with value: 0.7728494623655914.
2025-09-27 17:52:56,011 - INFO - Trial 42 finished with value: 0.6693548387096775 and parameters: {'upsampling_bins': 24, 'alpha': 0.2, 'beta': 0.25}. Best is trial 19 with value: 0.7728494623655914.
2025-09-27 17:56:51,294 - INFO - Trial 43 finished with value: 0.7836021505376345 and parameters: {'upsampling_bins': 27, 'alpha': 0.15000000000000002, 'beta': 0.1}. Best is trial 43 with value: 0.7836021505376345.
2025-09-27 18:00:39,744 - INFO - Trial 44 finished with value: 0.663978494623656 and parameters: {'upsampling_bins': 26, 'alpha': 0.1, 'beta': 0.15000000000000002}. Best is trial 43 with value: 0.7836021505376345.
2025-09-27 18:04:23,439 - INFO - Trial 45 finished with value: 0.663978494623656 and parameters: {'upsampling_bins': 22, 'alpha': 0.25, 'beta': 0.1}. Best is trial 43 with value: 0.7836021505376345.
2025-09-27 18:08:08,320 - INFO - Trial 46 finished with value: 0.685483870967742 and parameters: {'upsampling_bins': 31, 'alpha': 0.45, 'beta': 0.1}. Best is trial 43 with value: 0.7836021505376345.
2025-09-27 18:12:24,962 - INFO - Trial 47 finished with value: 0.657258064516129 and parameters: {'upsampling_bins': 20, 'alpha': 0.2, 'beta': 0.35}. Best is trial 43 with value: 0.7836021505376345.
